Pedestrain,Time,xpos,ypos
1,9:35,35,19
1,9:40,36,19
1,9:45,37,19
1,9:50,38,18
1,9:55,37,17
1,10:0,37,16
1,10:5,37,15
1,10:10,37,14
1,10:15,37,13
1,10:20,37,12
1,10:25,37,11
1,10:30,37,10
1,10:35,37,9
1,10:40,37,8
1,10:45,37,7
1,10:50,37,6
1,10:55,37,5
1,11:0,37,4
1,11:5,37,3
1,11:10,37,2
1,11:15,37,1
1,11:20,37,0
1,11:20,37,0
1,0:0,7,23
1,0:5,9,22
1,0:10,10,21
1,0:15,11,20
1,0:20,12,19
1,0:25,13,19
1,0:30,14,19
1,0:35,15,19
1,0:40,16,19
1,0:45,17,19
1,0:50,18,19
1,0:55,19,19
1,1:0,20,18
1,1:5,20,17
1,1:10,20,16
1,1:15,20,15
1,1:20,20,14
1,1:25,20,13
1,1:30,20,12
1,1:35,21,11
1,1:40,22,10
1,1:45,23,10
1,1:50,24,9
1,1:55,25,8
1,2:0,25,7
1,2:5,25,6
1,2:10,25,5
1,2:10,25,5
1,2:10,7,23
1,2:15,9,23
1,2:20,10,22
1,2:25,9,21
1,2:30,9,20
1,2:35,9,19
1,2:40,9,18
1,2:45,10,17
1,2:50,10,16
1,2:55,11,15
1,3:0,11,14
1,3:5,11,13
1,3:10,11,12
1,3:15,11,11
1,3:20,12,10
1,3:25,13,10
1,3:30,14,10
1,3:35,15,10
1,3:40,16,10
1,3:45,17,10
1,3:50,18,10
1,3:55,19,10
1,4:0,20,10
1,4:5,21,10
1,4:10,22,9
1,4:15,23,9
1,4:20,24,10
1,4:25,25,9
1,4:30,26,8
1,4:35,26,7
1,4:40,26,6
1,4:45,25,5
1,4:45,25,5
1,4:45,7,23
1,4:50,5,22
1,4:55,5,21
1,5:0,5,20
1,5:5,5,19
1,5:10,4,18
1,5:15,4,17
1,5:20,4,16
1,5:25,4,15
1,5:30,5,14
1,5:35,6,14
1,5:40,7,14
1,5:45,8,14
1,5:50,9,13
1,5:55,10,12
1,6:0,10,11
1,6:5,11,10
1,6:10,12,9
1,6:15,13,9
1,6:20,14,9
1,6:25,15,9
1,6:30,16,9
1,6:35,17,9
1,6:40,18,9
1,6:45,19,9
1,6:50,20,9
1,6:55,21,8
1,7:0,22,7
1,7:5,23,6
1,7:10,23,5
1,7:15,23,4
1,7:20,23,3
1,7:25,23,2
1,7:30,23,1
1,7:35,24,0
1,7:40,25,1
1,7:45,25,2
1,7:50,25,3
1,7:55,25,4
1,8:0,25,5
1,8:0,25,5
1,22:10,12,6
1,22:15,11,8
1,22:20,12,9
1,22:25,13,9
1,22:30,14,9
1,22:35,15,9
1,22:40,16,9
1,22:45,17,9
1,22:50,18,9
1,22:55,19,9
1,23:0,20,10
1,23:5,21,10
1,23:10,22,10
1,23:15,23,10
1,23:20,24,10
1,23:25,25,10
1,23:30,26,11
1,23:35,26,12
1,23:40,26,13
1,23:45,26,14
1,23:50,26,15
1,23:55,26,16
1,24:0,26,17
1,24:5,26,18
1,24:5,26,18
1,24:5,12,6
1,24:10,10,7
1,24:15,10,8
1,24:20,11,9
1,24:25,12,10
1,24:30,13,10
1,24:35,14,10
1,24:40,15,10
1,24:45,16,10
1,24:50,17,10
1,24:55,18,10
1,25:0,19,10
1,25:5,20,9
1,25:10,21,9
1,25:15,22,9
1,25:20,23,9
1,25:25,24,9
1,25:30,25,9
1,25:35,26,10
1,25:40,27,11
1,25:45,27,12
1,25:50,27,13
1,25:55,27,14
1,26:0,27,15
1,26:5,27,16
1,26:10,27,17
1,26:15,26,18
1,26:15,26,18
1,13:20,37,10
1,13:25,36,8
1,13:30,36,7
1,13:35,35,6
1,13:40,34,5
1,13:45,33,4
1,13:50,32,3
1,13:55,31,2
1,14:0,30,1
1,14:5,29,1
1,14:10,28,0
1,14:15,27,0
1,14:20,26,0
1,14:25,25,0
1,14:30,24,0
1,14:35,23,1
1,14:40,23,2
1,14:45,23,3
1,14:50,22,4
1,14:55,21,4
1,15:0,20,4
1,15:5,19,4
1,15:10,18,3
1,15:15,17,2
1,15:20,16,2
1,15:25,15,2
1,15:30,14,2
1,15:35,13,2
1,15:40,12,2
1,15:45,11,3
1,15:50,10,3
1,15:55,9,3
1,16:0,8,3
1,16:5,7,3
1,16:10,6,3
1,16:15,5,3
1,16:20,4,3
1,16:25,3,3
1,16:30,2,3
1,16:35,1,3
1,16:40,0,3
1,16:40,0,3
1,8:0,26,14
1,8:5,26,12
1,8:10,26,11
1,8:15,25,10
1,8:20,24,10
1,8:25,23,10
1,8:30,22,10
1,8:35,21,10
1,8:40,20,10
1,8:45,19,10
1,8:50,18,10
1,8:55,17,10
1,9:0,16,10
1,9:5,15,10
1,9:10,14,10
1,9:15,13,10
1,9:20,12,10
1,9:25,11,10
1,9:30,10,10
1,9:35,9,10
1,9:40,8,10
1,9:45,7,10
1,9:50,6,10
1,9:55,5,10
1,9:55,5,10
1,9:55,26,14
1,10:0,27,12
1,10:5,27,11
1,10:10,26,10
1,10:15,25,9
1,10:20,24,9
1,10:25,23,9
1,10:30,22,9
1,10:35,21,9
1,10:40,20,9
1,10:45,19,9
1,10:50,18,9
1,10:55,17,9
1,11:0,16,9
1,11:5,15,9
1,11:10,14,9
1,11:15,13,9
1,11:20,12,9
1,11:25,11,9
1,11:30,10,9
1,11:35,9,9
1,11:40,8,9
1,11:45,7,9
1,11:50,6,9
1,11:55,5,10
1,11:55,5,10
1,11:55,26,14
1,12:0,28,13
1,12:5,28,12
1,12:10,28,11
1,12:15,27,10
1,12:20,26,9
1,12:25,25,8
1,12:30,25,7
1,12:35,25,6
1,12:40,25,5
1,12:45,25,4
1,12:50,25,3
1,12:55,25,2
1,13:0,25,1
1,13:5,24,0
1,13:10,23,1
1,13:15,23,2
1,13:20,23,3
1,13:25,22,4
1,13:30,21,4
1,13:35,20,4
1,13:40,19,4
1,13:45,18,3
1,13:50,17,2
1,13:55,16,2
1,14:0,15,2
1,14:5,14,2
1,14:10,13,2
1,14:15,12,2
1,14:20,11,3
1,14:25,10,4
1,14:30,9,5
1,14:35,8,6
1,14:40,7,6
1,14:45,6,6
1,14:50,5,6
1,14:55,4,7
1,15:0,4,8
1,15:5,5,9
1,15:10,5,10
1,15:10,5,10
1,16:40,16,22
1,16:45,16,20
1,16:50,15,19
1,16:55,14,19
1,17:0,13,19
1,17:5,12,19
1,17:10,11,18
1,17:15,11,17
1,17:20,11,16
1,17:25,11,15
1,17:30,11,14
1,17:35,11,13
1,17:40,11,12
1,17:45,11,11
1,17:50,11,10
1,17:55,11,9
1,18:0,10,8
1,18:5,9,7
1,18:10,8,6
1,18:15,7,6
1,18:20,6,6
1,18:25,5,6
1,18:25,5,6
1,18:25,23,20
1,18:30,21,18
1,18:35,21,17
1,18:40,21,16
1,18:45,21,15
1,18:50,20,14
1,18:55,20,13
1,19:0,20,12
1,19:5,20,11
1,19:10,19,10
1,19:15,18,10
1,19:20,17,10
1,19:25,16,10
1,19:30,15,10
1,19:35,14,10
1,19:40,13,10
1,19:45,12,10
1,19:50,11,9
1,19:55,10,8
1,20:0,9,7
1,20:5,8,6
1,20:10,7,6
1,20:15,6,6
1,20:20,5,6
1,20:20,5,6
1,20:20,23,20
1,20:25,21,19
1,20:30,20,19
1,20:35,19,19
1,20:40,18,19
1,20:45,17,19
1,20:50,16,19
1,20:55,15,19
1,21:0,14,19
1,21:5,13,19
1,21:10,12,19
1,21:15,11,18
1,21:20,11,17
1,21:25,11,16
1,21:30,11,15
1,21:35,11,14
1,21:40,11,13
1,21:45,10,12
1,21:50,9,11
1,21:55,8,10
1,22:0,7,10
1,22:5,6,10
1,22:10,5,9
1,22:15,4,8
1,22:20,4,7
1,22:25,5,6
1,22:25,5,6
1,11:20,15,12
1,11:25,16,10
1,11:30,17,10
1,11:35,18,10
1,11:40,19,10
1,11:45,20,10
1,11:50,21,9
1,11:55,22,9
1,12:0,23,9
1,12:5,24,9
1,12:10,25,8
1,12:15,25,7
1,12:20,25,6
1,12:25,25,5
1,12:30,25,4
1,12:35,26,3
1,12:40,27,2
1,12:45,28,1
1,12:50,29,1
1,12:55,30,1
1,13:0,31,2
1,13:5,32,3
1,13:10,33,4
1,13:15,34,5
1,13:20,35,6
1,13:20,35,6
1,15:10,15,12
1,15:15,14,10
1,15:20,13,10
1,15:25,12,9
1,15:30,11,8
1,15:35,11,7
1,15:40,12,6
1,15:40,12,6
